created_at,entry_id,field1,field2,field3,field4,field5,field6
2022-05-22 08:54:47 UTC,1893991,28,26,1015,496.232117,1,1
2022-05-22 08:55:17 UTC,1893992,28,26,1015,496.232117,1,1
2022-05-22 08:55:47 UTC,1893993,28,26,1015,496.232117,1,1
2022-05-22 08:56:17 UTC,1893994,28,26,1014,496.232117,1,1
2022-05-22 08:56:48 UTC,1893995,28,28,1015,496.232117,1,1
2022-05-22 08:57:18 UTC,1893996,28,28,1014,190.600494,1,1
2022-05-22 08:57:48 UTC,1893997,27,29,1014,190.600494,1,1
2022-05-22 08:58:18 UTC,1893998,27,29,1014,190.600494,1,1
2022-05-22 08:58:48 UTC,1893999,27,29,1014,190.600494,1,1
2022-05-22 08:59:18 UTC,1894000,27,30,1015,190.600494,1,1
2022-05-22 08:59:50 UTC,1894001,27,30,1015,181.014282,1,1
2022-05-22 09:00:20 UTC,1894002,27,30,1014,181.014282,1,1
2022-05-22 09:00:50 UTC,1894003,27,30,1014,181.014282,1,1
2022-05-22 09:01:20 UTC,1894004,27,30,1014,181.014282,1,1
2022-05-22 09:01:50 UTC,1894005,27,30,1014,181.014282,1,1
2022-05-22 09:02:20 UTC,1894006,27,30,1015,181.014282,1,1
2022-05-22 09:02:52 UTC,1894007,27,30,1015,181.014282,1,1
2022-05-22 09:03:22 UTC,1894008,27,30,1014,181.014282,1,1
2022-05-22 09:03:54 UTC,1894009,27,30,1014,237.288605,1,1
2022-05-22 09:04:24 UTC,1894010,27,30,1015,237.288605,1,1
2022-05-22 09:04:54 UTC,1894011,27,30,1015,237.288605,1,1
2022-05-22 09:05:25 UTC,1894012,27,30,1015,78.614319,1,1
2022-05-22 09:05:56 UTC,1894013,27,29,1015,78.614319,1,1
2022-05-22 09:06:26 UTC,1894014,27,29,1014,78.614319,1,1
2022-05-22 09:06:56 UTC,1894015,27,29,1015,78.614319,1,1
2022-05-22 09:07:26 UTC,1894016,27,29,1015,78.614319,1,1
2022-05-22 09:07:57 UTC,1894017,27,29,1014,78.614319,1,1
2022-05-22 09:08:27 UTC,1894018,27,29,1015,78.614319,1,1
2022-05-22 09:08:59 UTC,1894019,27,29,1014,67.869247,1,1
2022-05-22 09:09:29 UTC,1894020,27,29,1015,67.869247,1,1
2022-05-22 09:09:59 UTC,1894021,27,29,1015,67.869247,1,1
2022-05-22 09:10:31 UTC,1894022,27,29,1015,104.229591,1,1
2022-05-22 09:11:02 UTC,1894023,27,29,1015,207.318237,1,1
2022-05-22 09:11:32 UTC,1894024,27,29,1015,207.318237,1,1
2022-05-22 09:12:03 UTC,1894025,27,29,1015,207.318237,1,1
2022-05-22 09:12:33 UTC,1894026,27,29,1015,207.318237,1,1
2022-05-22 09:13:03 UTC,1894027,27,29,1015,207.318237,1,1
2022-05-22 09:13:33 UTC,1894028,27,29,1015,207.318237,1,1
2022-05-22 09:14:03 UTC,1894029,27,29,1015,207.318237,1,1
2022-05-22 09:14:33 UTC,1894030,27,29,1015,207.318237,1,1
2022-05-22 09:15:05 UTC,1894031,27,29,1015,207.318237,1,1
2022-05-22 09:15:35 UTC,1894032,27,29,1015,207.318237,1,1
2022-05-22 09:16:05 UTC,1894033,27,29,1015,207.318237,1,1
2022-05-22 09:16:36 UTC,1894034,27,29,1015,87.004623,1,1
2022-05-22 09:17:06 UTC,1894035,27,29,1015,87.004623,1,1
2022-05-22 09:17:36 UTC,1894036,27,29,1015,87.004623,1,1
2022-05-22 09:18:07 UTC,1894037,27,29,1015,87.004623,1,1
2022-05-22 09:18:37 UTC,1894038,27,29,1015,87.004623,1,1
2022-05-22 09:19:07 UTC,1894039,27,29,1015,87.004623,1,1
2022-05-22 09:19:37 UTC,1894040,27,29,1015,87.004623,1,1
2022-05-22 09:20:10 UTC,1894041,28,29,1015,122.339302,1,1
2022-05-22 09:20:42 UTC,1894042,28,29,1015,598.610413,1,1
2022-05-22 09:21:14 UTC,1894043,28,29,1015,598.610413,1,1
2022-05-22 09:21:44 UTC,1894044,28,29,1015,598.610413,1,1
2022-05-22 09:22:14 UTC,1894045,28,29,1015,598.610413,1,1
2022-05-22 09:22:44 UTC,1894046,28,29,1015,598.610413,1,1
2022-05-22 09:23:14 UTC,1894047,28,29,1015,598.610413,1,1
2022-05-22 09:23:45 UTC,1894048,28,29,1015,410.041473,1,1
2022-05-22 09:24:16 UTC,1894049,28,29,1015,410.041473,1,1
2022-05-22 09:24:46 UTC,1894050,28,29,1015,410.041473,1,1
2022-05-22 09:25:16 UTC,1894051,28,29,1015,410.041473,1,1
2022-05-22 09:25:46 UTC,1894052,28,29,1015,410.041473,1,1
2022-05-22 09:26:16 UTC,1894053,28,29,1015,410.041473,1,1
2022-05-22 09:26:46 UTC,1894054,28,29,1015,410.041473,1,1
2022-05-22 09:27:18 UTC,1894055,28,29,1015,410.041473,1,1
2022-05-22 09:27:48 UTC,1894056,28,29,1015,410.041473,1,1
2022-05-22 09:28:20 UTC,1894057,28,29,1015,239.421234,1,1
2022-05-22 09:28:50 UTC,1894058,28,29,1015,239.421234,1,1
2022-05-22 09:29:20 UTC,1894059,28,29,1015,239.421234,1,1
2022-05-22 09:29:50 UTC,1894060,28,29,1015,239.421234,1,1
2022-05-22 09:30:22 UTC,1894061,28,29,1015,239.421234,1,1
2022-05-22 09:30:53 UTC,1894062,28,29,1015,118.921188,1,1
2022-05-22 09:31:23 UTC,1894063,28,29,1015,118.921188,1,1
2022-05-22 09:31:53 UTC,1894064,28,29,1015,118.921188,1,1
2022-05-22 09:32:23 UTC,1894065,28,29,1015,118.921188,1,1
2022-05-22 09:32:53 UTC,1894066,28,29,1015,118.921188,1,1
2022-05-22 09:33:25 UTC,1894067,28,29,1015,118.921188,1,1
2022-05-22 09:33:55 UTC,1894068,28,29,1015,118.921188,1,1
2022-05-22 09:34:25 UTC,1894069,28,29,1015,118.921188,1,1
2022-05-22 09:34:55 UTC,1894070,28,29,1015,118.921188,1,1
2022-05-22 09:35:25 UTC,1894071,28,29,1015,118.921188,1,1
2022-05-22 09:35:55 UTC,1894072,28,29,1015,118.921188,1,1
2022-05-22 09:36:28 UTC,1894073,28,29,1015,211.285568,1,1
2022-05-22 09:36:59 UTC,1894074,28,29,1015,211.285568,1,1
2022-05-22 09:37:29 UTC,1894075,28,29,1015,211.285568,1,1
2022-05-22 09:37:59 UTC,1894076,28,29,1015,211.285568,1,1
2022-05-22 09:38:29 UTC,1894077,28,29,1015,211.285568,1,1
2022-05-22 09:38:59 UTC,1894078,28,29,1015,211.285568,1,1
2022-05-22 09:39:30 UTC,1894079,28,29,1015,211.285568,1,1
2022-05-22 09:40:00 UTC,1894080,28,29,1015,211.285568,1,1
2022-05-22 09:40:30 UTC,1894081,28,29,1015,211.285568,1,1
2022-05-22 09:41:00 UTC,1894082,28,29,1015,211.285568,1,1
2022-05-22 09:41:30 UTC,1894083,28,29,1015,211.285568,1,1
2022-05-22 09:42:00 UTC,1894084,28,29,1015,211.285568,1,1
2022-05-22 09:42:32 UTC,1894085,28,29,1015,211.285568,1,1
2022-05-22 09:43:02 UTC,1894086,28,29,1015,211.285568,1,1
2022-05-22 09:43:32 UTC,1894087,28,29,1015,211.285568,1,1
2022-05-22 09:44:02 UTC,1894088,28,29,1015,211.285568,1,1
2022-05-22 09:44:32 UTC,1894089,28,29,1015,211.285568,1,1
2022-05-22 09:45:05 UTC,1894090,28,29,1015,132.747559,1,1
